config_id,config_source,center_id,fold_id,phase,status,error_message,valid_rmsle,valid_rmse_log,best_nrounds,elapsed_seconds,train_rows,valid_rows,n_columns,eta,max_depth,min_child_weight,subsample,colsample_bytree,gamma,lambda,alpha
local_017,local_refinement,random_027,inner_2,local_refinement,ok,,0.732456574091012,0.732456574091012,5000,3.66555595397949,1300255,157920,257,0.0729363109494017,7,6.32097704387204,0.989093146007508,0.696693727327511,0.00398825924414808,0.412464084927523,0.903344999314873
local_018,local_refinement,reference_config,inner_2,local_refinement,ok,,0.723932710541784,0.723932710541784,5000,4.8970148563385,1300255,157920,257,0.0289546096340747,7,7.90746629299255,0.800387618357002,0.6,0.0108069298166322,0.321084106677951,0.00218085216124814
local_019,local_refinement,random_004,inner_2,local_refinement,ok,,0.724433447101968,0.724433447101968,5000,3.09189987182617,1300255,157920,257,0.083468830813018,6,1,0.740999705484137,0.835270911036059,0,0.216143818518303,3.04024681525511
local_020,local_refinement,random_027,inner_2,local_refinement,ok,,0.723769183048649,0.723769183048649,5000,3.64147090911865,1300255,157920,257,0.0795805172169189,7,4.70373278161221,0.916872896347195,0.614492302015424,0.00814359554157444,0.739479328514542,0
random_004,random_search,,inner_2,successive_halving_stage2,ok,,0.723950914267199,0.723950914267199,5000,4.25713491439819,1300255,157920,257,0.0735862272781206,6,1.09504659521962,0.791118388436735,0.903383815009147,0,0.199610775479002,3.24709672462535
random_006,random_search,,inner_2,successive_halving_stage2,ok,,0.739441657507832,0.739441657507832,5000,7.68083500862122,1300255,157920,257,0.0415232495334356,9,1.56779735484401,0.82437919350341,0.682612555846572,0.0096344032242366,0.113050429830976,0.000169494587112688
random_009,random_search,,inner_2,successive_halving_stage2,ok,,0.733008278430939,0.733008278430939,5000,8.65596199035645,1300255,157920,257,0.0262851664654907,8,4.66761682058584,0.915278333611786,0.641145857702941,0.0200119732586479,0.807547018262725,0
random_011,random_search,,inner_2,successive_halving_stage2,ok,,0.722841291886753,0.722841291886753,5000,3.43935680389404,1300255,157920,257,0.059714557486268,6,6.06439376387123,0.981789530999959,0.79316095886752,0.00221924396944625,14.8763910922533,0.0361016706178508
random_015,random_search,,inner_2,successive_halving_stage2,ok,,0.724471471827692,0.724471471827692,5000,4.2893979549408,1300255,157920,257,0.030746342529607,6,1.03936704134297,0.673539809603244,0.937091727554798,0.80990088718213,0.219367556726256,0.0157455444115254
random_016,random_search,,inner_2,successive_halving_stage2,ok,,0.73841001921325,0.73841001921325,5000,6.0782470703125,1300255,157920,257,0.0264128300577345,8,22.7861425676303,0.799010906834155,0.755163611937314,0,0.241903741491164,0
